,ith_scan,total sp,+ sp,- sp
0,1,64,33,31
1,2,53,29,24
2,3,51,26,25
3,4,57,32,25
4,5,60,34,26
5,6,52,27,25
6,7,52,27,25
7,8,61,35,26
8,9,59,31,28
9,10,51,27,24
10,11,58,32,26
11,12,65,36,29
12,13,60,35,25
13,14,47,24,23
14,15,59,30,29
15,16,65,33,32
16,17,73,38,35
17,18,78,40,38
18,19,77,37,40
19,20,99,50,49
20,21,108,53,55
21,22,99,47,52
22,23,143,69,74
23,24,84,44,40
24,25,100,52,48
25,26,92,47,45
26,27,96,50,46
27,28,100,53,47
28,29,88,43,45
29,30,86,45,41
30,31,61,32,29
31,32,70,37,33
32,33,60,30,30
33,34,69,35,34
34,35,75,40,35
35,36,59,31,28
36,37,47,26,21
37,38,47,26,21
38,39,50,27,23
39,40,49,27,22
40,41,92,46,46
41,42,88,45,43
42,43,88,48,40
43,44,87,47,40
44,45,104,52,52
45,46,102,53,49
46,47,105,55,50
47,48,103,50,53
48,49,90,46,44
49,50,70,37,33
50,51,61,32,29
51,52,67,35,32
52,53,59,30,29
53,54,68,34,34
54,55,88,47,41
55,56,88,48,40
56,57,81,41,40
57,58,76,43,33
58,59,68,37,31
59,60,63,35,28
60,61,55,30,25
61,62,53,30,23
62,63,73,38,35
63,64,75,39,36
64,65,99,52,47
65,66,85,44,41
66,67,90,43,47
67,68,100,51,49
68,69,102,52,50
69,70,87,46,41
70,71,89,48,41
71,72,89,47,42
72,73,61,33,28
73,74,61,33,28
74,75,51,26,25
75,76,56,31,25
76,77,64,33,31
77,78,75,37,38
78,79,73,38,35
79,80,78,38,40
80,81,65,37,28
81,82,69,37,32
82,83,72,38,34
83,84,64,31,33
84,85,58,30,28
85,86,69,37,32
86,87,70,37,33
87,88,64,34,30
88,89,76,38,38
89,90,69,36,33
90,91,59,31,28
91,92,63,33,30
92,93,68,37,31
93,94,63,33,30
94,95,76,39,37
95,96,77,41,36
96,97,57,31,26
97,98,57,34,23
98,99,48,25,23
99,100,55,31,24
